"","Incident","Location.Address","Location.Name","Date","Time","Comments...Nature.of.Fire","Disposition","UCPDI.","Occured.Start.Date","Occured.End.Date","Occured.Start.Time","Occured.End.Time","Stand_inc"
"2005","Information / Robbery","5424 S. Kimbark ","Public Way","12/12/2015","21:21","Two unknown suspects took a cell phone from a victim walking on the sidewalk off campus before fleeing to a dark SUV waiting nearby / Victim reported no injuries / CPD case HY534983","CPD","E00833","12/12/2015",NA,"21:15",NA,"ROBBERY"
"2006","Information / Robbery","5201 S. University ","Public Way","8/20/2017","20:11","Victim walking on the sidewalk off campus was approached by an unknown suspect who sprayed victim with a chemical substance and took victim's cellphone before fleeing to a waiting white vehicle / CPD case JA399543","CPD","17-00695","8/20/2017",NA,"20:05",NA,"ROBBERY"
"2007","Information / Robbery","Ingleside between 54th & 55th",NA,"8/20/2015","22:11","Unknown suspect approached victim walking towards off-campus private apartment building / Suspect took victim's book bag, iPhone, and cash before fleeing on victim's bicycle / Victim reported no injuries / CPD case","CPD","","8/20/2015",NA,"22:00",NA,"ROBBERY"
"2008","Information / Robbery","5460 S. Ellis ","Public Way","10/30/2017","10:19","Victim walking on the sidewalk off campus was approached from the rear by two unknown suspects who struck the victim and took his wallet and keys before fleeing northbound on foot / CPD case JA491645","CPD","17-00952","10/30/2017",NA,"10:10",NA,"ROBBERY"
"2009","Information / Robbery","6300 S. Greenwood",NA,"1/22/2014","16:26","Three unknown males took an iPhone and a wallet from a victim walking on the sidewalk off-campus / CPD case HX123855","CPD","D00069","1/22/2014",NA,"15:35",NA,"ROBBERY"
"2010","Information / Robbery","52nd between Ellis & Greenwood",NA,"6/29/2015","21:40","Victim was about to enter parked vehicle on the street off campus when approached by two unknown suspects who forcibly took victim's property / Victim reported no injuries / CPD case","CPD","","6/29/2015",NA,"21:30",NA,"ROBBERY"
"2011","Information / Robbery","Harper between 57th & 58th",NA,"5/23/2015","22:20","Two unknown suspects followed victim into vestibule of off-campus private apartment building taking wallet, watch, and keys to car / Suspects fled in victim's vehicle / Victim reported no injuries / CPD case HY272581","CPD","","5/29/2015",NA,"22:15",NA,"ROBBERY"
"2012","Information / Robbery","S. Woodlawn at 47th St,",NA,"10/9/2017","23:38","Three unknown suspects forcibly took purse from the hands of victim walking on the street off campus / CPD case JA465200","CPD","17-00861","10/9/2017",NA,"23:38",NA,"ROBBERY"
"2013","Information / Robbery","5000 S. Cornell ","Public Way","10/8/2017","20:36","2 unknown subjects took keys from a victim who had just parked and exited vehicle / Suspects ran to a white vehicle and fled northbound on Cornell / CPD case JA463710","CPD","17-00857","10/8/2017",NA,"20:25",NA,"ROBBERY"
"2014","Information / Robbery","Greenwood between 54th & 55th",NA,"11/5/2014","9:23","Two suspects, one implying a weapon, took a cell phone and back pack from a victim walking on the sidewalk off campus  / CPD case","CPD","D00965","11/5/2014",NA,"9:10",NA,"ROBBERY"
"2015","Information / Robbery","1307 E. 55th St. ","Alley","10/31/2016","22:32","5 unknown suspects approached victim walking in the alley off-campus / Suspects struck victim with their fists and took victim's iPhone and car keys / Suspects fled southbound on Kimbark / Victim transported to ER by CFD EMS for treatment / CPD case HZ497397","CPD","16-00971","10/31/2016",NA,"22:30",NA,"ROBBERY"
"2016","Information / Robbery","Hyde Park between Woodlawn and Kimbark",NA,"3/15/2014","20:34","Unknown male took a wallet from a victim walking on the sidewalk off campus / CPD case HX186389","CPD","D00258","3/15/2014",NA,"20:30",NA,"ROBBERY"
"2017","Information / Robbery","5658 S. Blackstone ","Public Way","6/25/2015","23:20","Unknown suspect took purse from victim walking on the sidewalk off campus / No injuries reported / CPD case","CPD","","6/25/2015",NA,"23:15",NA,"ROBBERY"
"2018","Information / Robbery","5327 S. Dorchester ","Public Way","6/24/2015","22:10","Unknown suspect took cash from a victim walking on the sidewalk / CPD case","CPD","","6/24/2015",NA,"22:10",NA,"ROBBERY"
"2019","Information / Robbery","1027 E. 53rd St. ","Public Way","6/9/2016","1:06","Two unknown suspects forcibly took a bag from a victim walking on the sidewalk off-campus / CPD case HZ299471","CPD","16-00488","6/9/2016",NA,"1:05",NA,"ROBBERY"
"2020","Information / Robbery","5200 S. Woodlawn ","Public Way","10/24/2017","1:53","4 unknown suspects approached an individual walking on the street off campus, struck victim with their fists, took victim's wallet and fled southbound on foot / CPD case JA483431","CPD","17-00923","10/24/2017",NA,"1:35",NA,"ROBBERY"
"2021","Information / Robbery","5140 S. Hyde Park",NA,"6/10/2014","16:22","Two unknown suspects forcibly took a cell phone from a victim walking off campus /  CPD case","CPD","D00551","6/10/2014",NA,"16:10",NA,"ROBBERY"
"2022","Information / Robbery","5036 S. Ellis ","Public Way","4/23/2017","10:40","Two unknown suspects forcibly took a camera from a victim walking on the sidewalk off-campus / Suspects fled to a waiting white colored SUV and drove off / Victim reported no physical injuries / CPD case JA235843","CPD","17-00326","4/23/2017",NA,"10:35",NA,"ROBBERY"
"2023","Information / Robbery","5201 S. Ingleside ","Public Way","5/22/2017","18:55","Two unknown suspects struck a victim walking on the sidewalk off campus took a wallet and cell phone before fleeing on foot / CPD case JA274950","CPD","17-00416","5/22/2017",NA,"18:40",NA,"ROBBERY"
"2024","Information / Robbery","Kimbark between 55th & 56th",NA,"7/23/2015","0:30","Unknown suspect took property from a victim entering a private apartment building off campus / Victim reported no injuries / CPD report","CPD","","7/23/2015",NA,"0:05",NA,"ROBBERY"
"2025","Information / Robbery","5555 S. Woodlawn",NA,"1/25/2017","19:05","Two unknown suspects forcibly took an iPhone from a victim walking on the sidewalk before fleeing to a waiting white Nissan sedan with temporary Illinois license plates / CPD case JA129886","CPD","17-00077","1/25/2017",NA,"19:05",NA,"ROBBERY"
"2026","Information / Robbery","50th St. between Cornell & East End",NA,"10/12/2016","19:03","Individual walking on the sidewalk off-campus was pushed to the ground by 3 unknown suspects who took victim's wallet and fled on foot / CPD case","CPD","16-00890","10/12/2016",NA,"18:50",NA,"ROBBERY"
"2027","Information / Robbery","5400 S. Drexel ","Public Way","11/16/2016","19:04","Individual walking on the sidewalk off-campus was approached by two unknown suspects who demanded his property / When victim attempted to reason with the suspects, they struck him with their fists, took his cellphone and wallet before fleeing westbound on 54th St. in a white van / Victim declined medical attention / CPD case HZ518098","CPD","16-01026","11/16/2016",NA,"19:00",NA,"ROBBERY"
"2028","Information / Robbery","5055 S. Lake Shore Dr.",NA,"8/1/2016","21:53","Victim walking on the sidewalk off-campus struck by one of two suspects who took his property before fleeing in a waiting vehicle / Victim transported to ER by CFD EMS for treatment / CPD case HZ374454","CPD","16-00651","8/1/2016",NA,"21:45",NA,"ROBBERY"
"2029","Information / Robbery","5400 S. Woodlawn",NA,"5/21/2014","14:28","Two unknown suspects forcibly took wallet from a victim walking on the sidewalk off campus and fled in a dark blue 4-door vehicle / CPD case HX270613","CPD","D00471","5/21/2014",NA,"14:25",NA,"ROBBERY"
"2030","Information / Robbery","5813 S. Blackstone ","Public Way","6/25/2016","5:37","Three unknown suspects forcibly took a back pack from a victim walking on the sidewalk off-campus / CPD case HZ322507","CPD","16-00538","6/25/2016",NA,"5:30",NA,"ROBBERY"
"2031","Information / Robbery","825 E. 52nd St.",NA,"6/3/2017","10:18","Two unknown suspects exited a vehicle on the public way and forcibly took a purse from a victim walking on the sidewalk off campus / Victim declined medical attention / CPD case JA290656","CPD","17-00470","6/3/2017",NA,"10:10",NA,"ROBBERY"
"2032","Information / Robbery","5445 S. Harper ","Public Way","7/27/2016","7:41","Victim walking off-campus was approached from the rear by two suspects and was thrown to the ground while his cell phone was taken from his hand / Suspects fled northbound on foot / Victim declined medical attention / CPD case HZ366330","CPD","16-00637","7/27/2016",NA,"7:35",NA,"ROBBERY"
"2033","Information / Robbery","Hyde Park between 54th & 55th",NA,"2/2/2018","14:28","An individual walking in the alley off campus was approached by two unknown suspects who pushed the victim to the ground and kicked him / The suspects took the victim<U+0092>s laptop computer and fled on foot / The victim was transported to the hospital by CFD EMS for evaluation and treatment / CPD case JB138830","CPD","18-00111","2/2/2018",NA,"14:15",NA,"ROBBERY"
"2034","Information / Robbery","Woodlawn between 54th & 55th ","Public Way","8/25/2017","22:59","Unknown suspect forcibly took purse from an individual walking on the sidewalk off campus / CPD case JA406434","CPD","17-00715","8/25/2017",NA,"22:45",NA,"ROBBERY"
"2035","Information / Robbery","Woodlawn between 54th & 55th",NA,"11/18/2015","23:52","Three unknown suspects took a wallet and cell phone from a victim walking into an off-campus private apartment building / Victim reported no injuries / CPD case HY506786","CPD","","11/18/2015",NA,"23:05",NA,"ROBBERY"
"2036","Information / Robbery","5510 S. Hyde Park ","Public Way","1/18/2018","20:15","Five unknown suspects forcibly took iPhone from victim walking on the sidewalk off campus / CPD case JB121186","CPD","18-00061","1/18/2018",NA,"20:15",NA,"ROBBERY"
"2037","Information / Robbery","1610 E. 55th St. ","Metra Underpass","6/8/2017","17:46","Individual riding a bicycle off campus when blue Honda CRV pulled along side and passenger pushed victim from bike, exited vehicle, took backpack and fled in vehicle southbound on Cornell / Victim declined medical assistance / CPD case","CPD","17-00493","6/8/2017",NA,"17:15",NA,"ROBBERY"
"2038","Information / Robbery","53rd between Woodlawn & Kimbark",NA,"1/13/2016","18:11","UCPD officers assisted CPD in  searching for a suspect wanted for bank robbery / CPD case HZ114481","CPD","","1/13/2016",NA,"18:00",NA,"ROBBERY"
"2039","Information / Robbery","5417 S. University ","Public Way","11/11/2015","6:47","Victim walking on the sidewalk off campus was approached by two unknown suspects who forcibly took the victim's purse before fleeing in a waiting vehicle  / CPD case","CPD","","11/11/2015",NA,"6:45",NA,"ROBBERY"
"2040","Information / Robbery","5200 S. Greenwood",NA,"10/20/2015","12:41","Three unknown suspects took purses from two victims walking on the sidewalk off-campus / Suspects fled in a waiting vehicle / Victims reported no injuries / CPD case HY469296","CPD","","10/20/2015",NA,"12:35",NA,"ROBBERY"
"2041","Information / Robbery","5200 S. Kenwood",NA,"10/13/2016","19:22","An individual walking on the sidewalk off-campus was approached from behind by 3 or 4 suspects who pushed the victim to the ground, took his back pack and fled in a waiting vehicle / Victim reported no injuries / CPD case HZ473136","CPD","16-00893","10/13/2016",NA,"19:15",NA,"ROBBERY"
"2042","Information / Robbery","1210 E. 54th St. ","Public Way","9/16/2016","20:59","Two unknown suspects took a backpack and wallet from a victim walking on the sidewalk off-campus / No weapon displayed or implied / Victim reported no injuries / CPD case HZ437131","CPD","16-00788","9/16/2016",NA,"20:39",NA,"ROBBERY"
"2043","Information / Robbery","1449 E. 57th St. ","Restaurant","4/22/2016","15:25","Two suspects forcibly took a cell phone from a victim off-campus / Suspects arrested by UCPD and CPD officers / Property recovered / CPD case","CPD / Arrest","16-00341","4/22/2016",NA,"15:25",NA,"ROBBERY"
"2044","Information / Robbery","Greenwood between 54th & 55th",NA,"12/9/2016","22:31","An unknown suspect took a wallet from a victim walking on the sidewalk off-campus before entering a white van that sped off in an unknown direction / CPD case","CPD","16-01108","12/9/2016",NA,"22:20",NA,"ROBBERY"
"2045","Information / Robbery","1029 E. 49th St. ","Public Way","8/23/2017","19:23","Two unknown suspects forcibly took property from two victims on the street  off campus / UCPD officer located and detained one suspect who was positively identified by the victims and had possession of victim's property / Turned over to CPD and taken into custody / CPD case JA403523","CPD / Arrest","17-00704","8/23/2017",NA,"19:10",NA,"ROBBERY"
"2046","Information / Robbery","1500 E. 55th St. ","Public Way","5/23/2015","1:10","Two unknown suspects used force to take iPhone from victim standing on the sidewalk off campus / CPD case","CPD","","5/23/2015",NA,"1:10",NA,"ROBBERY"
"2047","Information / Robbery","915 E. 63rd St. ","Public Way","7/5/2016","10:57","Suspect forcibly took cash from a victim who had just exited the currency exchange / CPD case","CPD","16-00566","7/5/2016",NA,"10:30",NA,"ROBBERY"
"2048","Information / Robbery","5435 S. Woodlawn ","Public Way","3/2/2018","14:05","Individual walking on the sidewalk off campus was pushed by an unknown suspect who grabbed the victim's cell phone and fled northbound on Woodlawn / CPD case JB171068","CPD","18-00214","3/2/2018",NA,"13:45",NA,"ROBBERY"
"2049","Information / Robbery","5041 S. Blackstone ","Public Way","6/25/2017","21:13","Two unknown suspects forcibly took iPhone, iPad, and credit cards from a person walking on the sidewalk off campus before fleeing to a waiting vehicle / CPD case JA322492","CPD","17-00536","6/25/2017",NA,"21:05",NA,"ROBBERY"
"2050","Information / Robbery","1160 E. 54th St.",NA,"12/9/2016","22:31","An unknown suspect took an iPhone and wallet from a victim walking on the sidewalk off-campus before entering a white van that sped off in an unknown direction / CPD case HZ546363","CPD","16-01107","12/9/2016",NA,"22:15",NA,"ROBBERY"
"2051","Information / Robbery","6344 S. Greenwood ","Public Way","8/11/2017","21:31","A group of six juveniles forcibly took two bags from a victim walking on the sidewalk off campus / Victim declined medical aid / CPD case JA387494","CPD","17-00667","8/11/2017",NA,"21:15",NA,"ROBBERY"
"2052","Information / Robbery","Kimbark between 55th & 56th",NA,"11/27/2015","19:44","Three unknown suspects took a wallet and cell phone from a victim walking on the sidewalk off campus / Victim reported no injuries / CPD case HY518976","CPD","","11/27/2015",NA,"19:35",NA,"ROBBERY"
