"","Incident","Location","Reported","Occurred","Comments / Nature of Fire","Disposition","UCPDI#"
"3006","Information / Burglary","Dorchester between 56th & 57th","9/10/16 9:12 AM","9/10/16 9:00 AM","Unknown person gained entry to off-campus private apartment via unsecured rear window / Suspect fled without taking property / CPD case","CPD","16-00763"
"3007","Lost Property","5700 S. Maryland (CCD)","9/10/16 3:56 PM","9/7/16 to 9/10/16 11:00 PM to 2:00 PM","Unsecured cash lost during patient's stay in hospital / Room transfers involved","Closed","16-00764"
"3008",":","","","","","",""
"3009","Found Narcotics","5721 S. Maryland (Comer Hospital)","9/11/16 2:40 PM","9/11/16 2:40 PM","Staff member found a clear baggie containing white powder (heroin) / Turned over to UCPD for proper disposal","Closed","16-00765"
"3010","Void","Void","Void","Void","Number generated in error","Void","16-00766"
"3011","Mental Health Transport","6100 S. Ingleside","9/11/16 7:23 PM","9/11/16 7:20 PM","Mentally disturbed individual transported to hospital for evaluation and treatment","Closed","16-00767"
"3012","Information","6054 S. Drexel (UC Parking Structure)","9/11/16 9:57 PM","9/11/16 9:57 PM","Unauthorized individual was warned about trespassing in the parking structure / Given written warning and sent on his way","Closed","16-00768"
"3013","Information / Theft","Ingleside between 51st & 52nd","9/11/16 11:15 PM","9/7/16 to 9/11/16 3:00 PM to 11:00 PM","Unsecured bicycle taken from hallway in off-campus private apartment building / CPD case HZ430193","CPD","16-00769"
"3014",":","","","","","",""
"3015","Recovered Motor Vehicle","5840 S. Maryland (Parking Structure)","9/12/16 9:33 AM","9/12/16 9:33 AM","UCPD officer recovered an unoccupied, secured vehicle parked on the 2nd level of the parking structure / Vehicle previously reported stolen to CPD / CPD case HZ232398","CPD","16-00770"
"3016","Theft","5600 S. Woodlawn","9/12/16 6:35 PM","9/12/16 6:15 PM to 6:18 PM","Unattended backpack taken from the public way","Open","16-00771"
"3017",":","","","","","",""
"3018","Found Property","5700 S. Maryland (CCD)","9/13/16 3:06 PM","9/13/16 14:55 PM","Staff member found suspect marijuana cigarette in patient's room / Turned over to UCPD for disposal","Closed","16-00772"
"3019",":","","","","","",""
"3020","Theft","1155 E. 58th St. (Oriental Inst.)","9/14/16 11:28 AM","6/27/16 to 9/14/16 11:00 AM to 9:30 AM","Cash taken from envelope in unlocked desk drawer in unsecured work cubicle","Open","16-00773"
"3021","Information / Burglary","Greenwood between 53rd & 54th","9/14/16 7:28 PM","9/14/16 12:50 PM to 4:55 PM","Unknown person(s) entered off-campus private apartment via unsecured rear door and took 2 laptops / CPD case","CPD","16-00774"
"3022","Information / Damage to Property","Harper between 55th & 56th","9/14/16 8:08 PM","9/9/16 to 9/14/16 8:10 PM to 6:15 PM","Owner of off-campus property observed damage to front door of residence / Referred to CPD","CPD","16-00775"
"3023","Information / Aggravated Robbery","5433 S. University","9/14/16 9:38 PM","9/14/16 9:30 PM","Two unknown suspects took property from a person walking on the sidewalk off-campus / Weapon implied, but no weapon seen / Suspects fled on foot with two other companions / No injuries reported / CPD case HZ434475","CPD","16-00776"
"3024","Lost Property","5700 S. Maryland (CCD)","9/14/16 10:40 PM","9/11/16 to 9/14/16 10:00 PM to 10:30 PM","Patient reports possible loss of cash from wallet during hospital stay / Uncertain of amount","Closed","16-00777"
"3025",":","","","","","",""
"3026","Information / Elevator Entrapment","915 E. 60th St. (Logan Center)","9/15/16 12:04 AM","9/15/16 12:04 AM","Employee stuck in elevator between floors / CFD responded and freed individual / No injuries reported","Closed","16-00778"
"3027","Information","5841 S. Maryland (Billings Hospital)","9/15/16 9:37 AM","9/2/16 12:10 AM","Staff member received an ""inappropriate"" response to an email message from a staff member / Referred to Human Resources","Referred","16-00779"
"3028","Theft","832 E. 59th St. (Public Way)","9/15/16 10:54 AM","9/15/16 10:00 AM","Individual reported that a person panhandling on the street had taken her wallet / UCPD officers detained suspect, but he was later released when victim could not positively state the suspect took the wallet / Subsequent unauthorized use of credit cards reported","Open","16-00780"
"3029","Found Property","6054 S. Drexel","9/15/16 2:10 PM","9/15/16 8:00 AM","First Transit bus driver found cell phone on shuttle bus / Turned over to UCPD / Owner contacted and will retrieve phone","Closed","16-00781"
"3030","Injured Person","1362 E. 59th St. (Public Way)","9/15/16 3:07 PM","9/15/16 3:00 PM","Individual tripped over uneven sidewalk falling and injuring right hand and suffered abrasions to forehead / Transported to ER by CFD EMS for evaluation and treatment","Closed","16-00782"
"3031",":","","","","","",""
"3032","Found Property","5800 S. Greenwood (Main Quad)","9/16/16 1:16 AM","9/15/16 6:00 PM","Set of keys found in Main Quad / Inventoried at UCPD for safekeeping","Closed","16-00783"
"3033","Sick Person","6031 S. Ellis (Granville-Grossman RH)","9/16/16 8:08 AM","9/16/16 8:08 AM","Sick person transported to ER by CFD EMS for evaluation and treatment","Closed","16-00784"
"3034","Information","1100 E. 57th St. (Regenstein Library)","9/15/16 11:07 AM","9/14/16 to 9/15/16 4:30 PM to 8:00 AM","Unknown person(s) knocked books from shelves in 2nd and 3rd floor stacks","Closed","16-00785"
"3035","Information / Burglary","54th St. between Dorchester and Harper","9/16/16 6:24 PM","9/16/16 8:30 AM to 6:15 PM","Unknown person(s) entered private off-campus apartment via unsecured rear window and took a laptop computer / CPD case","CPD","16-00786"
"3036","Lost Property","6054 S. Drexel","9/16/16 7:29 PM","9/9/16 to 9/16/16 7:00 AM to 3:00 PM","License plate sticker missing from a University owned vehicle","Closed","16-00787"
"3037","Information / Robbery","1210 E. 54th St. (Public Way)","9/16/16 8:59 PM","9/16/16 8:39 PM","Two unknown suspects took a backpack and wallet from a victim walking on the sidewalk off-campus / No weapon displayed or implied / Victim reported no injuries / CPD case HZ437131","CPD","16-00788"
"3038",":","","","","","",""
"3039","Assist Other Agency","Greenwood between 53rd & 54th","9/17/16 12:06 PM","9/17/16 12:05 PM","Witness observed unknown suspect gaining access to multiple off-campus apartments via rear door and window and called police / UCPD officer arrived and saw suspect on rear stairs and detained him / Suspect turned over to CPD and placed under arrest for trespass to property / CPD follow up investigation for burglaries / CPD case HZ438057","CPD","16-00789"
"3040","Lost Property","1005 E. 60th St. to 6031 S. Ellis","9/17/16 2:11 PM","9/17/16 1:50 PM to 2:00 PM","Individual reports losing iPhone from his pocket while walking between 1005 E. 60th St. and 6031 S. Ellis","Closed","16-00790"
"3041","Found Property","5800 S. Greenwood (Main Quadrangle)","9/17/16 5:20 PM","9/17/16 5:20 PM","Individual found wristwatch on the ground in the Main Quad / Turned over to UCPD for safekeeping","Closed","16-00791"
"3042",":","","","","","",""
"3043","Assist Other Agency","5800 S. Cottage Grove","9/18/16 3:07 AM","9/18/16 3:07 AM","Two unknown suspects, one armed with a weapon, chased victim on the sidewalk off-campus / UCPD officers arrived, located  and detained suspects /  A pellet gun was recovered from one suspect / Suspects turned over to CPD, arrested and charged with weapon violation and 1 suspect held on curfew violation / CPD case HZ438901","CPD","16-00792"
"3044","Assist Other Agency","5503 S. Everett (Public Way","9/18/16 12:05 PM","9/18/16 12:03 PM","Suspect, armed with a weapon, took computer bag from victim walking on the sidewalk off-campus / UCPD officers located and detained the suspect, who was turned over to CPD / Victim's property and a replica handgun were recovered / Suspect arrested and charged with Aggravated Robbery by CPD / CPD case HZ439317","CPD","16-00793"
"3045","Theft","915 E. 60th St. (Logan Center Bike Rack)","9/18/16 12:17 PM","9/18/16 9:50 AM to 12:00 PM","Secured bicycle taken from bike rack","Open","16-00794"
"3046","Information / Theft","5759 S. Kenwood (Public Way)","9/18/16 3:05 PM","9/17/16 10:50 AM to 11:20 AM","Unknown person took wheel from bicycle secured to city street sign post off-campus / CPD case","CPD","16-00795"
"3047","Lost Property","5850 S. Woodlawn (Rockefeller Chapel)","9/18/16 5:35 PM","9/18/16 4:30 PM to 5:30 PM","Individual lost phone while in the chapel / Phone found and returned to owner","Closed","16-00796"
"3048","Theft","5514 S. University (Bike Rack)","9/18/16 7:53 PM","9/16/16 to 9/18/16 1:00 PM to 3:50 PM","Secured bicycle taken from bike rack","Open","16-00797"
"3049",":","","","","","",""
"3050","Liquor Law Violation","5514 S. University (North Campus RH)","9/19/16 12:02 AM","9/19/16 12:02 AM","Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS","Referred","16-00798"
"3051","Liquor Law Violation","5514 S. University (North Campus RH)","9/19/16 2:24 AM","9/19/16 2:24 AM","Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS","Referred","16-00799"
"3052","Injured Person","5720 S. Ellis (Kersten Physics Center)","9/19/16 8:25 AM","9/19/16 8:00 AM","Employee, mopping stairs, slipped on wet surface and fell injuring back and right knee / Transported to ER by CFD EMS for evaluation and treatment","Closed","16-00800"
"3053","Lost Property","6054 S. Drexel","9/19/16 9:44 AM","9/15/16 8:00 AM","Key to University owned vehicle is missing","Closed","16-00801"
"3054","Theft","915 E. 60th St. (Logan Center Bike Rack)","9/19/16 4:06 PM","9/19/16 1:00 PM to 4:00 PM","Secured bicycle taken from bike rack","Open","16-00802"
"3055","Information / Burglary","Ellis between 54th & 55th","9/19/16 6:12 PM","9/19/16 11:30 AM to 3:30 PM","Unknown person(s) entered off-campus private apartment via unsecured rear door and took property / CPD case HZ441203","CPD","16-00803"
"3056","Battery","901 E. 58th St. (Mitchell ER)","9/19/16 10:58 PM","9/19/16 10:58 PM","Disorderly individual kicked a staff member / Suspect arrested by UCPD","Arrest","16-00804"
"3057",":","","","","","",""
"3058","Information / Attempt Armed Robbery","5801 S. Dorchester (Public Way)","9/20/16 1:42 AM","9/20/16 1:40 AM","Individual walking at 58th & Dorchester was approached by a suspect riding a bicycle / The suspect displayed a handgun and demanded the victim's cell phone / The victim refused to hand over the phone and the suspect rode off southbound on Dorchester / Victim reported no injuries / CPD case HZ441470","CPD","16-00805"
"3059","Theft","5640 S. University (Bartlett Commons Bike Rack)","9/20/16 9:24 AM","9/19/16 to 9/20/16 7:00 PM to 8:00 AM","Secured bicycle taken from bike rack","Open","16-00806"
"3060","Recovered Motor Vehicle","1352 E 47th Pl.","9/20/16 12:20 PM","9/20/16 12:20 PM","UCPD officer recovered an unoccupied vehicle parked on the street / Vehicle had been previously been reported stolen to CPD / CPD case HZ425244","CPD","16-00807"
"3061","Lost Property","1111 E. 60th St. (Law School)","9/20/16 6:39 PM","9/20/16 4:30 PM 5:30 PM","Individual reports losing wallet while in the Law School building","Closed","16-00808"
"3062",":","","","","","",""
"3063","Information / Aggravated Battery","1320 E. 55th St. (Public Way)","9/21/16 1:51 AM","9/20/16 6:45 PM","An individual walking off-campus was struck in the hand by an unknown object / Victim went to hospital where an object, later  identified as a pellet from an air gun, was removed from the palm of his hand / Victim did not see any suspects / CPD case HZ442967","CPD","16-00809"
"3064","Liquor Law Violation","5500 S. University (Campus North RH)","9/21/16 2:15 AM","9/21/16 2:15 AM","Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS","Referred","16-00810"
"3065","Assist Other Agency / Unlawful Possession of a Weapon","Drexel between 53rd & 54th","9/21/16 12:21 PM","9/21/16 12:21 PM","UCPD officers assisted CPD officers who were chasing a suspect on foot / CPD officers took the suspect into custody / UCPD officers searched for and recovered a handgun the suspect had discarded during the chase","CPD","16-00811"
"3066","Theft","1101 E. 56th St. (Max Palevsky Bike Rack)","9/21/16 3:47 PM","9/20/16 t0 9/21/16 12:00 PM to 3:00 PM","Secured bicycle taken from bike rack","Open","16-00812"
"3067","Information","970 E. 58th St. (Bookstore)","9/21/16 3:44 PM","9/21/16 3:40 PM","Individual found tampering with merchandise warned not to return to the store","Closed","16-00813"
"3068",":","","","","","",""
"3069","Theft","5530 S. Ellis (Ratner A.C.)","9/22/16 6:39 PM","9/22/16 5:10 PM to 6:15 PM","Secured bicycle taken from bike rack","Open","16-00814"
"3070",":","","","","","",""
"3071","Information / Burglary","Kenwood between 57th & 58th","9/23/16 12:38 PM","9/23/16 9:00 AM to 12:35 PM","Unknown person(s) gained entry to off-campus private apartment via unsecured window and took laptop computer / CPD case","CPD","16-00815"
"3072","Information / Traffic Accident","5601 S. Cottage Grove (UC Facilities Garage)","9/23/16 2:05 PM","9/23/16 1:50 PM","UC owned vehicle struck fixed object causing minor damage to the vehicle / 2016-MVA00152","Closed","16-00816"
"3073","Information / Sexual Assault","Ellis between 54th & 55th","9/23/16 11:11 AM","9/22/16 to 9/23/16 8:45 PM to 6:20 AM","Victim reports sexual assault by ex-boyfriend in off-campus private apartment / CPD case HZ446709","CPD","16-00817"
"3074","Criminal Damage to Vehicle","5840 S. Maryland (Parking Structure)","9/23/16 7:17 PM","9/23/16 5:45 AM to 7:10 PM","Unknown person(s) damaged windshield wipers, side view mirror, and antenna on victim's parked vehicle","Open","16-00818"
"3075",":","","","","","",""
"3076","Information  / Burglary","Kenwood between 57th & 58th","9/24/16 8:46 AM","9/24/16 8:00 AM to 8:30 AM","Unknown person(s) entered off- campus private residence via unsecured rear door and took 2 iPhones / CPD case","CPD","16-00819"
"3077","Information / Traffic Crash","1126 E. 59th St.","9/24/16 9:06 PM","9/24/16 9:06 PM","Motorist struck multiple vehicles / Property damage only, no injuries reported / Motorist taken into custody and charged with  DUI / MVA2016-00154","Arrest","16-00820"
"3078",":","","","","","",""
"3079","Theft","6031 S. Ellis (Granville-Grossman RH)","9/25/16 8:10 AM","9/23/16 to 9/25/16 6:45 AM to 8:00 AM","Secured bicycle taken from bike rack","Open","16-00821"
"3080","Information / Lost Property","Cottage Grove between 54th & 55th","9/25/16 10:07 AM","9/21/16 to 9/25/16 10:00 AM to 10:05 AM","Individual reports lost clarinet in off-campus private apartment / Referred to CPD","CPD","16-00822"
