"","Incident","Location.Address","Location.Name","Date","Time","Comments...Nature.of.Fire","Disposition","UCPDI.","Occured Start Date","Occured End Date","Occured Start Time","Occured End Time"
"1986","Traffic Crash","942 E. 55th St.",NA,"1/5/16","18:43","UC Shuttle bus involved in property damage accident with another vehicle / No injuries reported","Closed","1600019","1/5/16",NA,"18:40",NA
"1987","Theft","5751 S. Woodlawn ","Plein Air Caf<e9>","1/6/16","11:31","Unknown suspect distracted victim and took victim's iPhone from table in cafe","Open","16-00020","1/6/16",NA,"11:00",NA
"1988","Theft","900 E. 57th St. ","Knapp Center","1/6/16","15:13","Wallet taken from unattended back pack left in unsecured cubicle / Unauthorized use of credit cards reported","Open","16-00021","1/6/16",NA,"13:15","14:45"
"1989","Liquor Law Violation","6031 S. Ellis ","Granville-Grossman RH","1/7/16","00:56","Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS","Referred","16-00022","1/7/16",NA,"00:56",NA
"1990","Warrant Arrest","5721 S. Maryland ","Comer Hospital","1/7/16","10:41","UCPD officers arrested an individual wanted on warrants from Stevenson County, IL and Hoffman Estates, IL","Arrest","16-00023","1/7/16",NA,"10:40",NA
"1991","Information / Burglary","Greenwood between 53rd & 54th",NA,"1/7/16","14:15","Unknown persons(s) entered off-campus private apartment while residents were away and removed property / Probable entrance via an open window / CPD case HZ107321","CPD","16-00024","1/7/16",NA,"10:45","13:30"
"1992","Theft","865 E. 57th St. ","Starbucks Caf<e9>","1/8/16","14:04","Unknown individual distracted victim and took iPhone from table top in cafÃƒÂ©","Open","16-00025","1/6/16",NA,"12:30","13:00"
"1993","Traffic Crash","5600 S. Hyde Park",NA,"1/8/16","18:16","Vehicle struck UC Shuttle Bus on right side while passing / Driver initially stopped but left scene / Property damage only / No injuries reported / MVA 00009","Closed","16-00026","1/8/16",NA,"18:10",NA
"1994","Information","322. E. Illinois ","Out of Area","1/8/16","20:36","Individual's wallet containing UC ID was lost or stolen while in movie theater off campus / Referred to CPD","CPD","16-00027","1/7/16","1/8/16","22:45","01:00"
"1995","Liquor Law Violation","5625 S. Ellis ","Max Palevsky RH","1/9/16","01:10","Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS","Referred","16-00028","1/9/16",NA,"01:10",NA
"1996","Information / Theft","57th between Kimbark & Kenwood",NA,"1/9/16","12:30","Unknown suspect distracted victim and took cell phone from table top in off-campus restaurant / Referred to CPD","CPD","16-00029","1/9/16",NA,"12:30",NA
"1997","Theft","970 E. 58th St. ","Bookstore","1/9/16","14:05","Individual took items of food from caf<e9> without paying / UCPD officers detained suspect / Victim refused to prosecute / Exceptionally cleared","Ex. Cleared","16-00030","1/9/16",NA,"14:05",NA
"1998","Information / Armed Robbery","5400 S. Woodlawn",NA,"1/9/16","22:49","Unknown suspect, armed with a handgun, took a wallet and cell phone from a victim walking on the sidewalk off-campus / Victim reported no injuries / CPD case HZ110252","CPD","16-00031","1/9/16",NA,"22:30",NA
"1999","Liquor Law Violation","6031 S. Ellis ","Granville-Grossman RH","1/10/16","00:31","Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS","Referred","16-00032","1/10/16",NA,"00:31",NA
"2000","Liquor Law Violation","901 E. 58th St. ","Mitchell ER","1/10/16","02:20","Underage individual became ill after consuming alcoholic beverages / Transported to ER by friends","Referred","16-00033","1/10/16",NA,"02:20",NA
"2001","Found Property","5815 S. Maryland ","Mitchell Hospital","1/10/16","14:25","Staff member smelled smoke in patient's room and found lighter, cigarettes, and unknown substance in a baggy / Property turned over to and inventoried by UCPD","Closed","16-00034","1/10/16",NA,"14:20",NA
"2002","Information / Theft","5751 S. Woodlawn ","Bookstore","1/10/16","23:49","Unknown suspect distracted victim and took cell phone from table top / Referred to CPD","CPD","16-00035","1/10/16",NA,"16:00",NA
"2003","Battery","901 E. 58th St. ","Mitchell Hospital ER","1/11/16","01:04","Individual being escorted from the ER struck UCPD officer with fist / Arrested and charged with felony aggravated battery of a police officer","Arrest","16-00036","1/11/16",NA,"01:04",NA
"2004","Theft","901 E. 58th St. ","Mitchell Hospital ER","1/11/16","07:50","Individual reports cash taken from wallet while in ER","Open","16-00037","1/10/16","1/11/16","21:00","07:30"
"2005","Theft","5730 E. Drexel ","Comer Hospital","1/11/16","09:02","Unsecured iPhone taken from patient's room","Open","16-00038","1/10/16","1/11/16","22:00","08:20"
"2006","Lost Property","57th & University to 60th & Kimbark",NA,"1/11/16","12:42","Individual reports losing wallet while riding bicycle","Closed","16-00039","1/10/16","1/11/16","22:30","22:35"
"2007","Theft","5751 S. Woodlawn ","Plein Air Caf<e9>","1/11/16","15:36","Unknown suspect distracted victim and took iPhone from table top in cafÃƒÂ©","Open","16-00041","1/11/16",NA,"15:20",NA
"2008","Information","924 E. 56th St. ","Pritzker School","1/12/16","09:56","Annoying, harassing email received by staff member","Closed","16-00042","1/10/16",NA,"16:40",NA
"2009","Traffic Crash","860 E. 59th St.",NA,"1/13/16","08:05","While discharging passengers, the folding doors on a UC Shuttle Bus fell off hinges striking the hood of a car parked at the curb / No injuries reported","Closed","16-00043","1/13/16",NA,"08:05",NA
"2010","Lost Property","6031 S. Ellis to 1307 E. 60th",NA,"1/13/16","11:22","Individual reports losing wallet from pocket","Closed","16-00044","1/11/16",NA,"22:30","23:30"
"2011","Information / Robbery","53rd between Woodlawn & Kimbark",NA,"1/13/16","18:11","UCPD officers assisted CPD in  searching for a suspect wanted for bank robbery / CPD case HZ114481","CPD","","1/13/16",NA,"18:00",NA
"2012","Found Property","915 E. 61st St.",NA,"1/13/16","19:58","Individual found suitcase and turned it over to UCPD for safekeeping","Closed","16-00045","1/13/16",NA,"19:58",NA
"2013","Information / Burglary","61st between University & Woodlawn",NA,"1/14/16","16:57","Unknown person entered private off-campus apartment by breaking rear window / Unknown at this time if any property was taken / Referred to CPD","CPD","16-00046","1/14/16",NA,"16:45",NA
"2014","Information / Assault","6025 S. Ellis ","Cathey Dining Commons","1/14/16","21:41","A contract employee was placed in fear of physical harm by a co-worker / CPD case / No injuries reported","CPD","16-00047","1/14/16",NA,"21:35",NA
"2015","Assist Other Agency / Battery","5300 S. Harper",NA,"1/14/16","22:31","UCPD officer assisted CPD after two individuals engaged in a physical altercation / CPD case HZ116014","CPD","16-00048","1/14/16",NA,"22:31",NA
"2016","Traffic Crash","6054 S. Drexel",NA,"1/14/16","23:59","UC owned vehicle, parked on the public way was struck by another vehicle that was attempting to park / Property damage only / No injuries reported","Closed","16-00049","1/14/16",NA,"23:59",NA
"2017","Traffic Crash","5700 S. Maryland ","CCD","1/15/16","05:17","Truck struck and damage a light fixture on a column","Closed","16-00050","1/15/16",NA,"05:15",NA
"2018","Lost Property","915 E. 60th St. ","Logan Center","1/15/16","14:11","A glass block, one of a hundred on display, missing from exhibit","Closed","16-00051","11/20/15","1/10/16","12:00","21:00"
"2019","Lost Property","5815 S. Maryland ","Mitchell Hospital","1/15/16","19:37","2 diamond earrings in a clear plastic bag missing after patient was transported for tests within the hospital","Closed","16-00052","1/14/16",NA,"14:00","16:30"
"2020","Theft","5700 S. Maryland ","CCD - Starbucks","1/15/16","20:29","Victim reports unknown suspect took iPhone from table top while victim was distracted","Open","16-00053","1/15/16",NA,"16:30",NA
"2021","Information / Armed Robbery","5308 S. Hyde Park",NA,"1/16/16","07:51","Unknown suspect, armed with a handgun, took backpack from victim standing at CTA  bus stop off-campus / Suspect fled in a waiting vehicle / Victim reported no injuries / CPD case HZ117523","CPD","16-00054","1/16/16",NA,"07:45",NA
"2022","Found Property","4900 S. Kimbark",NA,"1/16/16","11:36","Individual found iPhone at 49th & Kimbark and turned it over to UCPD for safekeeping","Closed","16-00055","1/16/16",NA,"11:36",NA
"2023","Information / Shots Fired","62nd & Kimbark",NA,"1/16/16","12:13","UCPD and CPD officers responded to a call of shots fired off-campus in the area of 62nd & Kimbark / No suspects located / No injuries reported / CPD case","CPD","","1/16/16",NA,"12:13",NA
"2024","Information","1215 E. Hyde Park ","Max Mason","1/16/16","23:30","As a result of a well-being check, individual transported to the ER for evaluation and treatment","Closed","16-00056","1/16/16",NA,"23:30",NA
"2025","Liquor Law Violation","1005 E. 60th St. ","Burton- Judson (RH","1/17/16","03:11","Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS","Referred","16-00057","1/17/16",NA,"03:11",NA
"2026","Lost Property","53rd St between Ellis and Ingleside and Drexel",NA,"1/17/16","03:08","Individual reports losing iPhone, possibly on UC Shuttle bus or the public way","Closed","16-00058","1/17/16",NA,"02:20",NA
"2027","Lost Property","54th to 56th University",NA,"1/17/16","11:45","Individual reports losing wallet between 54th & University and 56th & University","Closed","16-00059","1/17/16",NA,NA,NA
"2028","Liquor Law Violation","1442 E. 59th St. ","Breckinridge RH","1/18/16","01:48","Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS","Referred","16-00060","1/18/16",NA,"01:48",NA
"2029","Traffic Crash","5500 S. Ellis",NA,"1/18/16","08:07","Shuttle bus struck UC owned vehicle parked on the street / Property damage only / No injuries reported / 2016MVA00015","Closed","16-00061","1/18/16",NA,"08:07",NA
"2030","Attempted Armed Robbery","5706 S. University ","Reynolds Club Vestibule","1/18/16","21:11","Unknown suspect asked victim for $8 and ""directions to the nearest shelter"" / Victim said he had no money / Suspect displayed a handgun and asked, ""Do you have it now?"" / Victim fled and later reported incident to UCPD / Follow up investigation revealed no crime occurred","Unfounded","16-00062","1/18/16",NA,"20:50",NA
"2031","Information","920 E. 58th St. ","Cummings","1/19/16","01:38","Water pipe burst in room 406A / CFD and building engineer on site","Closed","16-00063","1/19/16",NA,"01:38",NA
"2032","Theft","5811 S. Ellis ","Cobb Hall","1/19/16","10:47","Coat left unattended on bannister in 1st floor stairwell taken by unknown person","Open","16-00064","1/19/16",NA,"09:25","10:30"
"2033","Harassment by Electronic Means","6054 S. Drexel",NA,"1/19/16","12:37","Suspect has transmitted unwanted harassing emails","Open","16-00065","8/31/15","1/13/16","20:00","18:15"
"2034","Traffic Crash","5900 S. Woodlawn",NA,"1/19/16","14:42","Vehicle backed into a UC owned bus / Property damage only / No injuries reported / 2016-MVA00016","Closed","16-00066","1/19/15",NA,"14:42",NA
"2035","Assault","5758 S. Maryland ","DCAM","1/20/16","13:25","Individual made a statement placing victim in fear of bodily harm / Suspect fled before arrival of police","Open","16-00067","1/20/16",NA,"09:30",NA
"2036","Found Property","5473 S. Kimbark ","Public Way","1/20/16","14:17","Individual found a knife in the snow adjacent to the sidewalk / Turned over to UCPD","Closed","16-00068","1/20/16",NA,"14:17",NA
"2037","Found Property","5900 S. Kimbark ","Public Way","1/20/16","15:29","Individual found an American Express credit card on the sidewalk / Turned over to UCPD for safekeeping","Closed","16-00069","1/20/16",NA,"15:29",NA
"2038","Battery","5759 S. Drexel",NA,"1/20/16","16:29","During the course of an argument over a parking space, suspect struck victim / Suspect taken in custody by UCPD","Arrest","16-00070","1/20/16",NA,"16:25",NA
"2039","Aggravated Battery","5550 S. University ","Crown Field House","1/20/16","22:32","Individual, who had been warned repeatedly, both orally and in writing, not to trespass on University property, armed with a chemical spray devise, used the devise to spray UCPD officers in the face as they attempted to escort suspect from the property / Suspect taken into custody / Officers treated for injury by CFD EMS / Suspect transported to ER for treatment","Arrest","16-00071","1/20/16",NA,"22:32",NA
"2040","Found Narcotics","1100 E. 57th St. ","UC Shuttle Bus","1/21/16","14:17","Individual found a tote bag on UC Shuttle bus / Bag contained a clear plastic bag of cannabis, a pipe, and cannabis grinder / Inventoried by UCPD","Closed","16-00072","1/21/16",NA,"01:55",NA
"2041","Lost Property","1005 E. 60th St. ","Burton-Judson RH","1/21/16","14:21","Individual reported he misplaced Sony PlayStation console / Last seen in 2nd floor lounge","Closed","16-00073","1/17/16",NA,"02:00",NA
"2042","Found Property","6100 S. Drexel ","Public Way","1/21/16","17:07","Individual found an iPhone on the sidewalk / Inventoried by UCPD for safekeeping","Closed","16-00075","1/21/16",NA,"17:07",NA
"2043","Assist Other Agency / Recovered Vehicle","5800 S. Cottage Grove",NA,"1/21/16","19:44","UCPD officer was alerted by License Plate Reader to an unoccupied vehicle parked at the curb that had been reported stolen to CPD / CPD took charge of vehicle / CPD case HY500525","CPD","16-00076","1/21/16",NA,"19:44",NA
